n,area_number,actual_data,synthetic_cntrl,difference,area_name,date
21,5,.81994349,.8044644,.015479089,Bedford,17apr2020
57,5,.93499488,.80133814,.13365673,Bedford,23may2020
11,5,.90833896,.88547391,.02286504,Bedford,07apr2020
87,5,.0073736962,.1340791,-.12670541,Bedford,22jun2020
67,5,1.0562842,.83592713,.22035706,Bedford,02jun2020
61,5,.99627924,.78153145,.21474776,Bedford,27may2020
52,5,.82804024,.78779376,.040246475,Bedford,18may2020
35,5,.92675096,.84014988,.086601056,Bedford,01may2020
62,5,1.0165993,.78551674,.23108256,Bedford,28may2020
9,5,.96237451,.89368415,.06869036,Bedford,05apr2020
48,5,.85739243,.81710535,.040287092,Bedford,14may2020
34,5,.87860793,.82067269,.05793523,Bedford,30apr2020
73,5,.77361035,.68233436,.091275997,Bedford,08jun2020
30,5,.75716311,.78279161,-.025628515,Bedford,26apr2020
83,5,.10520457,.36279508,-.25759053,Bedford,18jun2020
26,5,.73593765,.77404755,-.03810988,Bedford,22apr2020
88,5,.0023256401,.086622767,-.084297128,Bedford,23jun2020
50,5,.82125592,.79004145,.031214476,Bedford,16may2020
28,5,.73861444,.77686191,-.038247477,Bedford,24apr2020
59,5,.96547925,.78847247,.17700678,Bedford,25may2020
36,5,.97724247,.86325377,.1139887,Bedford,02may2020
14,5,.87090284,.89010119,-.019198345,Bedford,10apr2020
66,5,1.068379,.83155358,.23682548,Bedford,01jun2020
77,5,.49172348,.54454088,-.052817389,Bedford,12jun2020
46,5,.92395192,.86351728,.060434654,Bedford,12may2020
69,5,.99712121,.81628311,.18083812,Bedford,04jun2020
70,5,.95095205,.79158157,.15937048,Bedford,05jun2020
25,5,.74462324,.77460653,-.029983306,Bedford,21apr2020
10,5,.9321866,.88672274,.045463853,Bedford,06apr2020
76,5,.56634074,.57506096,-.008720207,Bedford,11jun2020
79,5,.34355867,.48864222,-.14508355,Bedford,14jun2020
84,5,.067564286,.3111186,-.24355431,Bedford,19jun2020
60,5,.97969091,.78276062,.1969303,Bedford,26may2020
39,5,1.0959101,.9346875,.16122256,Bedford,05may2020
33,5,.83558202,.80553234,.030049661,Bedford,29apr2020
78,5,.41685978,.51570851,-.098848715,Bedford,13jun2020
37,5,1.0261974,.88838404,.13781337,Bedford,03may2020
5,5,1.1538985,1.0255177,.12838075,Bedford,01apr2020
56,5,.91545081,.802486,.11296484,Bedford,22may2020
49,5,.83435673,.80020499,.034151752,Bedford,15may2020
13,5,.87867486,.88978243,-.011107548,Bedford,09apr2020
81,5,.21013318,.4359374,-.22580421,Bedford,16jun2020
7,5,1.0415742,.93426412,.10731009,Bedford,03apr2020
